country,messages_billed_us,minutes_billed_us,us_revenue_billed_us,payout_billed_us,retained_revenue_billed_us,messages_term_us,minutes_term_us,reciepts_foreign_term_us,reciepts_foreign_trans_us,payout_trans_us,retained_revenue_trans_us,retained_revenue_total,latitude,longitude,region,symsize,gid,sum_region,pct_country,pct_region,geom
Mauritius,2090024,11248035,1097358,637673,459685,110962,15539238,631112,241086,456,240630,1331427,-20.348404,57.552152,Africa,5,32,2382080338,0.47,99.53,
Mozambique,10942433,14410429,1549903,1272971,276932,13,549964,11395,363,105,258,288585,-18.665695,35.529562,Africa,5,34,2382080338,0.60,99.40,
Niger,4296632,13655206,2244411,1939737,304674,,15252,1822,855575,8,855567,1162063,17.607789,8.081666,Africa,5,36,2382080338,0.57,99.43,
Tanzania,4284205,19009458,3524557,3342427,182130,94803,915563,79198,1721729,210439,1511290,1772618,-6.369028,34.888822,Africa,5,49,2382080338,0.80,99.20,
Togo,6854096,23385265,6424074,6384870,39204,,882368,227307,12852,2953,9899,276410,8.619543,0.824782,Africa,5,50,2382080338,0.98,99.02,
Zambia,2997763,16966514,1697479,1410411,287068,2634,1279887,54097,428690,668,428022,769187,-13.133897,27.849332,Africa,5,55,2382080338,0.71,99.29,
Brunei,2739859,12735450,355200,267944,87256,130129,539897,8024,723,146,577,95857,4.535277,114.727669,Asia,5,60,22114816739,0.06,99.94,
Burma,9325800,23555194,5307976,8464321,-3156345,21,241812,43186,11922,1248,10674,-3102485,21.913965,95.956223,Asia,5,61,22114816739,0.11,99.89,
Antigua and Barbuda,6836363,22508388,2909732,2488085,421647,187117,841524,14523,116346,45119,71227,507397,17.060816,-61.796428,Caribean,5,86,3779061301,0.60,99.40,
Aruba,4898683,13540921,2205289,1985481,219808,1901039,5219100,38632,222724,119688,103036,361476,12.52111,-69.968338,Caribean,5,87,3779061301,0.36,99.64,
Grenada,3088953,14686212,2313216,1869718,443498,152752,656296,17340,34786,14569,20217,481055,12.1165,-61.679,Caribean,5,96,3779061301,0.39,99.61,
Saint Kitts and Nevis,4467721,12600545,2315041,2004948,310093,65196,291606,10519,189541,91880,97661,418273,17.357822,-62.782998,Caribean,5,102,3779061301,0.33,99.67,
Saint Lucia,4453013,17749308,2936843,2812809,124034,197942,913618,35482,148846,74736,74110,233626,13.909444,-60.978893,Caribean,5,103,3779061301,0.47,99.53,
Turks and Caicos Islands,3977652,10442351,2589774,1488426,1101348,692204,1842779,20774,4117,2248,1869,1123991,21.694025,-71.797928,Caribean,5,106,3779061301,0.28,99.72,
British Virgin Islands,5634772,11140391,2433655,1585304,848351,3211515,8275272,211007,44825,24713,20112,1079470,18.420695,-64.639968,Caribean,5,107,3779061301,0.29,99.71,
